,FLAG_TSUNAMI,YEAR,FOCAL_DEPTH,EQ_PRIMARY,INTENSITY,COUNTRY,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,DEATHS,DEATHS_DESCRIPTION,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,POPULATION
575,No,1979,33,7.5,5,NEW ZEALAND,NEW ZEALAND:  W OF NORTH ISLAND,-46.675,165.707,170,,,,,,,,,,,3109000
576,No,1979,10,6.9,9,USA,CALIFORNIA:  IMPERIAL VALLEY; MEXICO: MEXICALI,32.634,-115.324,150,,,,91,2,4,,,,,225055000
577,No,1979,38,6.2,,INDONESIA,INDONESIA:  SUMBAWA ISLAND,-8.254,115.847,60,2,1,,40,1,2,,,,,144009845
578,No,1979,58,6.8,,GUATEMALA,GUATEMALA,13.833,-90.881,100,4,1,,23,1,2,,,,,6720582
579,No,1979,62,6.1,,INDONESIA,INDONESIA:  JAVA,-7.656,108.252,60,30,1,,200,3,3,,,,,144009845
580,No,1979,40,5.2,8,GREECE,GREECE-ALBANIA,39.536,20.398,130,1,1,,3,1,3,,,,,9548258
581,No,1979,33,6.6,,IRAN,IRAN:  KHORASAN,33.918,59.741,140,350,3,,,,3,,,,,0
582,Yes,1979,33,6.9,,FIJI,FIJI ISLANDS,-16.76,-179.984,170,,,,,,2,,,,,621585
583,No,1979,108,6.4,9,COLOMBIA,COLOMBIA:  MANIZALES-ARMENIA,4.805,-76.217,160,72,2,,600,3,3,,,,,26312994
584,No,1979,10,7.5,5,IRAN,IRAN,33.962,59.726,140,17,1,,24,1,3,,,,,0
585,No,1979,33,6,,IRAN,IRAN,34.033,59.817,140,,,,,,3,,,,,0
586,Yes,1979,33,7.7,9,COLOMBIA,"COLOMBIA: OFF SHORE, PACIFIC OCEAN",1.598,-79.358,160,600,3,,20000,4,3,10000,4,,,26312994
587,No,1979,33,6.6,,INDONESIA,INDONESIA:  S SUMATERA,-3.299,102.712,60,8,1,,162,3,2,2500,4,,,144009845
588,No,1979,33,6.3,,INDONESIA,"INDONESIA:  SUMBAWA ISLAND:  BALI, LOMBOK",-8.39,115.889,60,27,1,,200,3,2,,,,,144009845
589,Yes,1980,13,6.9,8,AZORES (PORTUGAL),"AZORES:   TERCEIRA, ANGRA DO HEROISMO",38.727,-27.75,130,69,2,,600,3,2,,,,,0
590,No,1980,11,5.9,7,USA,CALIFORNIA:  LIVERMORE,37.855,-121.816,150,,,,50,1,3,,,,,227225000
591,Yes,1980,44,7,7,RUSSIA,RUSSIA:  KURIL ISLANDS,43.53,146.753,50,,,,,,,,,,,0
592,No,1980,84,5.8,,INDONESIA,INDONESIA:  JAVA:  TASIKMALAJA,-8.082,108.793,60,,,,,,2,,,,,147447836
593,No,1980,24,4.5,8,ITALY,ITALY:  S,40.459,15.855,130,,,,,,2,,,,,56433883
594,No,1980,105,5.3,,GUATEMALA,GUATEMALA:  S COAST,14.716,-91.317,100,,,,,,1,,,,,6890346
595,Yes,1980,4,5.2,5,USA,WASHINGTON:  MT ST HELENS,46.214,-122.194,150,,,,,,,,,,,227225000
596,No,1980,9,5.8,8,SERBIA,BALKANS NW:  SERBIA,43.294,20.837,130,,,,30,1,2,,,,,7362000
597,No,1980,7,6.1,7,USA,CALIFORNIA:  MAMMOTH LAKES,37.6,-118.84,150,,,,7,1,2,,,,,227225000
598,No,1980,5,6.4,5,MEXICO,MEXICO:  NW,32.22,-114.985,150,1,1,,100,2,2,,,,,67761372
599,Yes,1980,15,6.2,8,JAPAN,JAPAN:  HONSHU:  S COAST,34.808,139.181,30,,,,7,1,2,,,,,116782000
600,No,1980,33,7.5,,SOLOMON ISLANDS,SOLOMON ISLANDS:  SANTA CRUZ ISLANDS:  BANKS,-12.41,166.381,170,,,,,,1,,,,,230546
601,No,1980,14,6.4,9,GREECE,GREECE:  AEGEAN SEA:  MAGNESIA,39.269,23.041,130,1,1,,,3,2,,,,,9642505
602,No,1980,33,5.2,6,TAJIKISTAN,"TAJIKISTAN:  SHURAB, NEFTEABAD",40.113,70.596,40,,,,,,1,,,,,3905446
603,No,1980,10,4,,GREECE,GREECE:  VOLOS,39.203,22.729,130,1,1,,,,2,,,,,9642505
604,Yes,1980,33,7.9,,SOLOMON ISLANDS,SOLOMON ISLANDS:  SANTA CRUZ ISLANDS; VANUATU,-12.525,165.916,170,,,,,,,,,,,230546
605,No,1980,62,5.4,,IRAN,"IRAN:  LAHIJAN, RASHT",37.19,50.201,140,1,1,,,3,2,,,,,0
606,No,1980,8,5.1,7,USA,KENTUCKY:  MAYSVILLE,38.174,-83.907,150,,,,2,1,2,,,,,227225000
607,No,1980,18,6.5,,NEPAL,NEPAL-INDIA:   PITHORAGARH,29.598,81.092,60,200,3,,,3,4,,,,,15016402
608,No,1980,22,6.4,,HONDURAS,HONDURAS;  N GUATEMALA:  IZABEL PROVINCE,15.888,-88.516,100,2,1,,,3,2,,,,,3678279
609,No,1980,55,5.6,,ECUADOR,"ECUADOR:  W, GUAYAQUIL",-1.948,-80.017,160,8,1,,100,2,2,,,,,7989186
610,No,1980,25,4.9,,INDIA,INDIA:  KASHMIR,32.913,75.633,60,15,1,,40,1,2,,3,,3,698952844
611,No,1980,33,4.8,,INDIA,INDIA:  KASHMIR,32.834,75.629,60,,1,,,,1,,,,,698952844
612,No,1980,73,6,6,JAPAN,"JAPAN:  TOKYO, YOKOHAMA",35.45,139.964,30,2,1,,73,2,2,,,,,116782000
613,No,1980,32,5.6,6,NEW ZEALAND,"NEW ZEALAND:  GISBORNE, HAWERA, EASTBOURNE, NAPIER",-39.542,176.478,170,,,,,,2,,,,,3112900
614,Yes,1980,10,7.7,10,ALGERIA,ALGERIA:  NORTHERN,36.195,1.354,15,5000,4,,9000,4,4,25000,4,,,19221665
615,No,1980,72,6.4,9,MEXICO,"MEXICO:  S, HUAJAPAN DE LEON, OAXACA",18.211,-98.24,150,300,3,,,3,2,,3,,,67761372
616,No,1980,19,7.2,7,USA,CALIFORNIA:  NORTH COAST,41.117,-124.253,150,5,1,,,,2,,,,,227225000
617,No,1980,71,4.9,,PERU,PERU:  S CENTRAL,-13.347,-74.545,160,7,1,,,,2,,,,,17547610
618,No,1980,20,6.9,10,ITALY,"ITALY:   AVELLINO, POTENZA, CASERTA, NAPLES",40.914,15.366,130,4689,4,,7700,4,4,,,,,56433883
619,No,1980,40,5,,COLOMBIA,VENEZUELA:  E,8.045,-72.441,160,,,,36,1,2,30,1,,,26900506
620,No,1980,33,5.8,,IRAN,"IRAN:  N CENTRAL, TEHRAN",34.587,50.652,140,26,1,,,,2,,,,,0
621,No,1980,41,5.2,,IRAN,"IRAN:  N CENTRAL, TEHRAN",34.503,50.59,140,3,1,,139,3,2,,,,,0
622,Yes,1981,33,6.9,,JAPAN,JAPAN:  E. HONSHU ISLAND,38.64,142.75,30,,,,,,,,,,,117648000
623,No,1981,33,6.7,,INDONESIA,INDONESIA:  NEW GUINEA:  IRIAN JAYA: JAYAWIJAYA MTS,-4.576,139.232,170,305,3,,,2,2,,,,,150938232
624,No,1981,33,6.8,8,CHINA,CHINA:  SICHUAN PROVINCE,30.927,101.098,30,150,3,,489,3,2,2992,4,,,993885000
625,No,1981,10,4.6,7,ITALY,ITALY:  S,41.051,14.601,130,12,1,,,,1,,,,,56501675
626,Yes,1981,33,6.7,8,GREECE,GREECE:  ATHENS-EASTERN GULF OF CORINTH,38.222,22.934,130,22,1,,400,3,4,8000,4,,,9729350
627,No,1981,29,6.4,9,GREECE,GREECE:  ATHENS-CORINTH-KHALIS,38.209,23.288,130,1,1,,9,1,2,,,,,9729350
628,No,1981,31,5.6,8,GREECE,GREECE:  PREVEZA,39.481,20.699,130,2,1,,,,2,150,0,,,9729350
629,No,1981,38,4.8,,PERU,PERU:  AYACUCHO,-13.144,-74.376,160,8,1,,15,1,2,,,,,17985393
630,No,1981,6,6,7,USA,"CALIFORNIA:  WESTMORLAND,CALIPATRIA",33.133,-115.65,150,,,,,,2,,,,,229466000
631,Yes,1981,33,7.6,,NEW ZEALAND,NEW ZEALAND:  W OF NORTH ISLAND,-48.786,164.357,170,,,,,,,,,,,3124900
632,No,1981,33,6.7,,IRAN,IRAN:  SE:  GOLBAFT,29.913,57.715,140,3000,4,,,3,2,,,,,0
633,No,1981,24,5.2,,PERU,PERU:  CENTRAL,-13.166,-74.522,160,10,1,,,2,2,,,,,17985393
634,No,1981,33,7.1,,IRAN,"IRAN:  SE, KERMAN",30.013,57.794,140,3000,4,,1000,4,4,,,,,0
635,No,1981,16,5.5,8,BOSNIA-HERZEGOVINA,BALKANS NW:  BOSNIA-HERZEGOVINA:  BANJA LUKA,44.849,17.312,130,,,,44,1,2,,,,,0
636,Yes,1981,25,7.7,6,SAMOA,SAMOA:  APIA; AMERICAN SAMOA:  PAGO PAGO,-14.96,-173.085,170,,,,,,,,,,,156407
637,No,1981,33,5.9,,PAKISTAN,PAKISTAN: GILGIT,35.693,73.594,60,220,3,,2500,4,2,,,,,80680459
638,No,1981,33,7.5,6,CHILE,"CHILE:  OFF CENTRAL COAST, LAS CRUCES",-33.134,-73.074,160,1,1,,,,,,,,,11582014
639,No,1981,54,5.4,7,COLOMBIA,VENEZUELA-N COLOMBIA,8.117,-72.527,160,15,1,,,3,2,,,,,27496617
640,Yes,1981,33,7.3,,MEXICO,MEXICO:  MICHOACAN: LAZARO CARDENAS,18.048,-102.084,150,9,1,,,,3,,,,,69407624
641,No,1981,10,5.3,8,EGYPT,EGYPT:  ASWAN,23.686,32.604,15,,,,,,1,11,1,11,1,0
642,No,1981,33,4,,PAKISTAN,PAKISTAN:  CENTRAL,29.856,66.962,60,6,1,,12,1,2,45,1,45,1,80680459
643,No,1981,10,7.5,,GREECE,"GREECE:  AEGEAN SEA:  LESBOS, SKIROS",39.243,25.227,130,,,,,,1,,,,,9729350
644,Yes,1982,46,7.1,7,PHILIPPINES,"PHILIPPINES:  VIRAC, CATANDUANES",13.752,124.358,170,,,,,,1,,,,,50023563
645,No,1982,7,4.5,6,CANADA,"CANADA; MAINE:  CARIBOU, HAYNESVILLE, PRESQUE ISLE",46.975,-66.659,150,,,,,,1,,,,,25116942
646,No,1982,6,6,,HONDURAS,"HONDURAS:  AMPALA, MASAYA",13.158,-87.589,100,,,,2,1,2,,,,,3910640
647,No,1982,19,6.3,,INDIA,INDIA:  LITTLE NICOBAR ISLAND,6.946,94.002,60,,,,,2,2,,,,,732239504
648,No,1982,40,5.5,,INDONESIA,"INDONESIA:  JAVA, SUKABUMI",-6.863,106.936,60,,,,17,1,2,,,,,154468229
649,Yes,1982,52,5.4,,INDONESIA,INDONESIA:  NORTHERN SUMATERA,4.374,97.755,60,,,,,,,,,,,154468229
650,Yes,1982,33,6.4,,INDONESIA,INDONESIA:  SUMBAWA ISLAND REGION,-9.265,118.479,60,,,,,,,,,,,154468229
651,Yes,1982,44,6.7,10,JAPAN,"JAPAN:  HOKKAIDO, URAKAWA, HIROO",42.158,142.361,30,110,3,,,,2,,,,,118449000
652,No,1982,9,3.5,,MEXICO,MEXICO:  CHIAPAS,17.25,-93.21,150,10,1,,200,3,1,,,,,71058654
653,No,1982,95,6.1,6,PERU,"PERU:  COAST, LUNAHUANA, LIMA, HUANCAYO",-12.69,-76.065,160,3,1,,,,2,,,,,18426415
654,No,1982,33,4.6,,CHINA,CHINA:  GANSU PROVINCE,36.785,105.55,30,,,,,,1,,,,,1008630000
655,No,1982,34,7,6,MEXICO,"MEXICO:  GUERERRO, ORZIBA, OAXACA, GUADALUPE",16.558,-98.358,150,9,1,,,3,2,,,,,71058654
656,No,1982,10,5.5,7,CHINA,CHINA:  SICHUAN PROVINCE:  GARZE,31.907,99.931,30,10,1,,5,1,1,,,,,1008630000
657,No,1982,82,6.2,7,EL SALVADOR,EL SALVADOR:  SAN SALVADOR; GUATEMALA,13.313,-89.339,100,43,1,,,3,2,,,,,4737257
658,Yes,1982,37,6.8,,JAPAN,"IBARAKI, JAPAN",36.194,141.702,30,,,,,,,,,,,118449000
659,No,1982,31,7.5,,SOLOMON ISLANDS,SOLOMON ISLANDS:  SANTA CRUZ ISLANDS,-12.597,165.931,170,,,,,,,,,,,246447
660,No,1982,46,5.6,,INDONESIA,INDONESIA:  FLORES ISLANDS:  RUTENG,-8.375,120.577,60,,,,,,2,,,,,154468229
661,No,1982,12,5.1,4,HONDURAS,HONDURAS-GUATEMALA-EL SALVADOR,14.487,-89.121,100,3,1,,2,1,2,,3,554,3,3910640
662,No,1982,16,4.4,7,ITALY,ITALY:  PERUGIA,43.164,12.586,130,,,,,,4,,,,,56543548
663,No,1982,21,5.5,8,MACEDONIA,"BALKANS NW:  ALBANIA:  BIER, BERAT, LUSHNJE",40.883,19.59,130,1,1,,12,1,2,,,,,0
664,No,1982,5,6,8,YEMEN,YEMEN:  DHAMAR,14.701,44.379,60,2800,4,,1500,4,4,,4,,,0
665,No,1982,36,6.6,,AFGHANISTAN,AFGHANISTAN:  NORTHEASTERN,36.148,69.011,40,500,3,,3000,4,2,,,,,12882528
666,Yes,1982,33,7.7,,TONGA,TONGA TRENCH,-24.133,-175.864,170,,,,,,,,,,,93641
667,Yes,1982,33,5.9,,INDONESIA,INDONESIA:  FLORES ISLAND:  EASTERN,-8.405,123.08,60,13,1,,390,3,2,1875,4,,,154468229
668,Yes,1982,22,6.1,,JAPAN,JAPAN:  S. OF HONSHU ISLAND,33.826,139.434,30,,,,,,,,,,,118449000
669,Yes,1983,14,7.2,,GREECE,GREECE: IONIAN SEA,38.026,20.228,130,,,,,,,,,,,9846627
670,No,1983,57,6.7,7,MEXICO,MEXICO:  OAXACA:   SALINA CRUZ,16.147,-95.232,150,,,,,,2,,,,,72709299
671,No,1983,16,6.2,8,CHINA,CHINA:  XINJIANG WEIWUER ZIZHIQU PROVINCE: WUQUA S,39.945,75.135,40,,,,2,1,2,,,,,1023310000
672,No,1983,24,4.7,7,MACEDONIA,BALKANS NW:  MACEDONIA:  SKOPJE,41.959,21.54,130,12,1,,,,1,,,,,0
673,No,1983,49,5.2,7,TAJIKISTAN,"TAJIKISTAN:  GARM, KHAZORA",38.841,70.727,40,,,,,,3,,,,,4265274
674,Yes,1983,17,6.5,,INDONESIA,INDONESIA:  BANDA SEA,-4.056,127.924,170,,,,,,1,,,,,158009246
675,Yes,1983,89,7.6,7,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  NEW IRELAND,-4.883,153.581,170,,,,,,2,,,,,3871492
676,No,1983,19,6.2,7,GREECE,GREECE: VONITSA,38.294,20.262,130,,,,7,1,2,160,3,,,9846627
677,No,1983,33,4.9,,IRAN,"IRAN:  TEHRAN, DAMAVOND, AMOI",35.953,52.264,140,30,1,,61,2,2,,,,3,0
678,No,1983,22,4.9,8,COLOMBIA,"COLOMBIA:  SW, POPAYAN",2.461,-76.686,160,350,3,,1200,4,4,,,,,28714190
679,No,1983,33,4.6,5,TURKMENISTAN,TURKMENISTAN:  KUM-DAG,39.042,48.714,40,,,,,,2,,,,,3091513
680,No,1983,37,7.3,,COSTA RICA,"COSTA RICA:  SE, PANAMA: W",8.717,-83.123,100,6,1,,,2,2,,,,,2593020
681,No,1983,79,6.6,7,INDONESIA,INDONESIA:  SUMATERA:  BANDA ACEH,5.723,94.722,60,,1,,100,2,2,,,,,158009246
682,No,1983,33,5.6,,CHINA,CHINA:  XINJIANG WEIWUER ZIZHIQU PROVINCE:  WUQUA,40.025,75.26,40,,1,,,,1,,,,,1023310000
683,No,1983,104,6.5,,PERU,PERU:  CHIMBOTE,-4.843,-78.103,160,10,1,,,,1,,,,,18870993
684,No,1983,10,5.9,,THAILAND,THAILAND:  BANGKOK,14.926,99.023,60,,,,,,2,,,,,50173924
685,No,1983,10,6.2,8,USA,"CALIFORNIA:  CENTRAL, COALINGA",36.219,-120.317,150,,,,45,1,4,500,3,,,233792000
686,Yes,1983,24,7.7,8,JAPAN,JAPAN:  HONSHU:  AKITA,40.462,139.102,30,4,1,,324,3,4,,,,,119259000
687,Yes,1983,26,5.9,,JAPAN,"NOSHIRO, JAPAN",40.249,138.948,30,,,,,,,,,,,119259000
688,Yes,1983,10,6.9,,JAPAN,JAPAN:  N. HONSHU ISLAND,41.346,139.099,30,,,,,,1,,,,,119259000
689,No,1983,33,6.2,9,COSTA RICA,COSTA RICA:  SAN JOSE,9.652,-83.688,100,2,1,,60,2,2,,,,,2593020
690,No,1983,10,6.1,8,TURKEY,"TURKEY:  NW, BIGA, ERDEK, ISTANBUL",40.324,27.222,140,5,1,,26,1,2,,,,,47073472
691,No,1983,37,6.1,6,USA,ALASKA:  PRINCE WILLIAM SOUND,61.031,-147.286,150,,,,,,2,,,,,233792000
692,No,1983,41,5,6,IRAN,"IRAN:  NW, ZANJIN",36.948,49.18,140,3,1,,41,1,2,75,2,,,0
693,No,1983,10,4.2,,PAKISTAN,PAKISTAN:  ZIARAT,30.349,67.84,60,,,,,,2,25,1,25,1,86285935
694,Yes,1983,2,7,6,GREECE,GREECE:  AEGEAN SEA,40.142,24.766,130,,,,,,1,,,,,9846627
695,No,1983,25,5.3,,JAPAN,JAPAN:  HONSHU:  S COAST,35.5,139.07,30,1,1,,28,1,1,,2,,,119259000
696,Yes,1983,63,6.5,,RUSSIA,RUSSIA:  NEAR EAST COAST OF KAMCHATKA,55.867,161.287,50,,,,,,,,,,,0
697,Yes,1983,29,6.5,8,PHILIPPINES,PHILIPPINES:  LUZON,18.231,120.86,170,16,1,,47,1,2,,3,,3,51408912
698,No,1983,10,5.1,8,SERBIA,BALKANS NW:  SERBIA,43.246,20.859,130,,,,,,2,,,,,7468000
699,No,1983,12,6,8,JAPAN,"JAPAN:  MIYAKEJIMA, OSHIMA",33.941,139.513,30,,,,,,2,,,,,119259000
700,Yes,1983,15,7.3,7,CHILE,CHILE:  NORTHERN:  COPOAPO-CHANARAL,-26.535,-70.563,160,5,1,,12,1,2,40,1,,,11907960
701,No,1983,40,6,,INDONESIA,INDONESIA:  CELEBES:  MINAHASSA:  TOLITOLI,1.084,121.052,170,,,,,,2,20,1,15,1,158009246
702,No,1983,33,6.1,7,INDONESIA,INDONESIA:  CENTRAL SULAWESI,1.131,120.858,170,2,1,,4,1,2,20,1,4,1,158009246
703,No,1983,14,7.3,9,USA,"IDAHO:  BORAH PEAK, CHALLIS, MACKAY",43.974,-113.916,150,2,1,,2,1,3,,,,,233792000
704,No,1983,12,6.9,,TURKEY,"TURKEY:  ERZURUM, KARS, KHORASAN, PASINLER, NARMAN",40.33,42.187,140,1342,4,,1142,4,4,,4,,,47073472
705,No,1983,27,5.2,6,JAPAN,"JAPAN:  TOTTORI, YONANGO",35.464,133.899,30,,,,,,2,,,,,119259000
706,No,1983,19,5.3,7,CHINA,"CHINA:  E, HEZE-DONGMING, SHANDONG PROVINCE",35.206,115.213,30,34,1,,2200,4,2,3300,4,,,1023310000
707,No,1983,10,5,7,BELGIUM,BELGIUM,50.696,5.346,120,2,1,,30,1,4,,3,,,9855520
708,No,1983,37,5,8,ITALY,"ITALY:  N, PARMA",44.689,10.317,130,,,,100,2,2,,,,,56564074
709,No,1983,12,6.7,8,USA,HAWAII: KAPAPALA,19.43,-155.454,150,,,,6,1,3,,,,,233792000
710,Yes,1983,10,7.6,6,UK TERRITORY,INDIAN OCEAN:  CHAGOS ARCHIPELAGO:  DIEGO GARCIA,-6.852,72.11,60,,,,,,1,,,,,0
711,No,1983,26,6.4,5,PAPUA NEW GUINEA,"PAPUA NEW GUINEA:  ULAWUN, RABAUL",-5.392,151.868,170,10,1,,,,4,,,,,3871492
712,No,1983,11,6.2,9,GUINEA,GUINEA:  GAOUAL-KOUMBIA,11.866,-13.529,10,443,3,3,1436,4,3,4000,4,,,5195445
713,No,1983,215,7.2,7,AFGHANISTAN,"AFGHANISTAN:  HINDU KUSH:  KABUL, SAMANGAN; PAKISTAN",36.372,70.738,40,26,1,,483,3,2,,,,,12537730
714,Yes,1984,33,6.6,7,INDONESIA,INDONESIA:  SULAWESI:  W,-2.823,118.806,170,2,1,,89,2,1,,,685,3,161523347
715,No,1984,33,5.8,4,AFGHANISTAN,"AFGHANISTAN:  KHOROG, JALALABAD; PAKISTAN",34.616,70.484,40,1,1,,35,1,2,,,,,12204292
716,No,1984,18,7.5,6,SOLOMON ISLANDS,SOLOMON ISLANDS:  GUADALCANAL,-10.012,160.469,170,,,,,,2,,,,,262687
717,Yes,1984,29,5.4,,GREECE,GREECE:  MANAGOULI-AIYION,38.396,22.094,130,,,,,,1,,,,,9895801
718,No,1984,208,6.1,6,PAKISTAN,PAKISTAN-NW AFGHANISTAN:  HINDU KUSH: CHITRAL-LANDI,36.431,70.826,60,4,1,,13,1,2,,,,,89213706
719,No,1984,15,7,9,UZBEKISTAN,UZBEKISTAN:  GAZLI,40.32,63.35,40,,,,100,2,2,,,,,17615040
720,Yes,1984,44,7,,RUSSIA,RUSSIA:  KURIL ISLANDS,44.117,148.192,50,,,,,,,,,,,0
721,No,1984,28,6.6,8,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  KARKAR,-4.647,145.805,170,,,,11,1,2,,3,,,3975956
722,No,1984,8,6.1,8,USA,CALIFORNIA:  CENTRAL:  MORGAN HILL,37.32,-121.698,150,,,,27,1,3,,,,,235825000
723,No,1984,12,5.3,8,ITALY,ITALY:  CENTRAL:  :PERUGIA-ASSISSI-GUBBIO,43.26,12.558,130,3,1,,200,3,4,,,,,56576718
724,No,1984,10,5.8,8,ITALY,ITALY:  S CENTRAL:  ABRUZZO,41.765,13.898,130,3,1,,100,2,2,,,,,56576718
725,No,1984,14,5.2,8,ITALY,ITALY:  S CENTRAL:  ABRUZZO,41.831,13.961,130,3,1,,63,2,2,,,,,56576718
726,No,1984,30,5.1,7,BOSNIA-HERZEGOVINA,BOSNIA-HERZEGOVINA:  LJUBINJE; CROATIA:  DUBROVNIK,42.967,17.734,130,1,1,,,,2,,,,,0
727,Yes,1984,41,5.5,,JAPAN,"JAPAN:  TORI SHIMA, OKINAWA",31.448,140.036,30,,,,,,,,,,,120018000
728,No,1984,24,6.7,5,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC:  SANTO DOMINGO,17.984,-69.338,90,5,1,,,,1,,,,,6331764
729,No,1984,13,4.7,,UK,UNITED KINGDOM:  WALES,52.878,-4.198,120,,,,,1,1,,,,,0
730,Yes,1984,46,6.7,6,JAPAN,JAPAN:  KYUSHU:  NOBEOKA,32.386,131.945,30,20,1,,,,2,,,,,120018000
731,No,1984,33,5.2,,INDONESIA,INDONESIA:  N SUMATERA:  TARUTUNG,1.761,99.075,60,,,,123,3,2,415,3,,,161523347
732,No,1984,13,4.7,8,SERBIA,BALKANS NW:  SERBIA,43.314,20.957,130,,,,2,1,2,,,,,7489000
733,No,1984,10,6.1,6,JAPAN,JAPAN:  HONSHU:  CENTRAL: MT ONTAKE,35.789,137.488,30,29,1,,,,4,,,,,120018000
734,No,1984,10,6.4,8,TURKEY,"TURKEY:  E, ERZURUM, OLUR-SENKAYA",40.885,42.219,140,3,1,,38,1,2,75000,4,,,48114155
735,Yes,1984,48,6.9,,JAPAN,JAPAN:  HONSHU ISLAND,34.006,141.5,30,,,,,,,,,,,120018000
736,No,1984,27,4.5,7,GREECE,GREECE:  MESSINA,37.013,21.757,130,,,,1,1,2,,3,,,9895801
737,No,1984,60,5.3,,TURKEY,"TURKEY:  E, SENKAYA",40.545,42.403,140,3,1,,35,1,3,75000,4,,,48114155
738,No,1984,33,5.1,6,USA,"WYOMING:  DOUGLAS, MEDICINE BOW",42.375,-105.72,150,,,,,,1,,,,,235825000
739,No,1984,33,6.1,7,TAJIKISTAN,"TAJIKISTAN:  DZHIRGATAL, GARM",39.155,71.328,40,,,,,,2,,2,,2,4397562
740,Yes,1984,33,7,,RUSSIA,RUSSIA:  KAMCHATKA,56.2,163.4,50,,,,,,,,,,,0
741,No,1984,23,5.6,,INDIA,"INDIA:  ASSAM, CACHAR DISTRICT",24.641,92.891,60,20,1,,100,2,3,,,,,766833410
742,No,1985,5,6.9,7,ARGENTINA,"ARGENTINA:  WEST CENTRAL, MENDOZA, LA LIGUA",-33.053,-68.467,160,6,1,,238,3,2,12000,4,12000,4,30216279
743,No,1985,37,5.3,,IRAN,"IRAN:  S, FIRUZABAD-JAHROM",28.399,52.997,140,1,1,,80,2,2,1500,4,,,0
744,Yes,1985,40,8,8,CHILE,"CHILE:  CENTRAL COAST, SAN ANTONIO, VALPARAISO",-33.132,-71.708,160,180,3,,2575,4,4,,4,,,12257236
745,Yes,1985,13,6.3,6,GUADELOUPE,GUADELOUPE,17.013,-62.448,90,,,,6,1,1,,,,,0
746,No,1985,33,6.6,7,CHILE,"CHILE:  VALPARAISO, VINA DEL MAR",-32.663,-71.551,160,1,1,,,,2,,,,,12257236
747,No,1985,33,6.5,5,PHILIPPINES,"PHILIPPINES:  PAGADIAN,  ZAMBOANGA",7.758,123.544,170,2,1,,25,1,2,30,1,,,54275822
748,No,1985,38,7.5,6,CHILE,"CHILE:  NEAR CENTRAL COAST, SANTIAGO-VALPARAISO",-34.131,-71.618,160,2,1,,,2,2,,,,,12257236
749,Yes,1985,99,6.2,,INDONESIA,"INDONESIA:  DENPASAR, BALI",-9.245,114.185,60,,,,,,2,,2,,,164982451
750,No,1985,5,5.8,8,CHINA,CHINA:  YUNNAN PROVINCE,25.926,102.871,30,23,1,,300,3,2,,,,,1051040000
751,No,1985,33,6.1,7,PHILIPPINES,"PHILIPPINES:  LUZON:  BENGUET PROVINCE,  BAGUIO",16.498,120.815,170,6,1,,11,1,2,,,,,54275822
752,No,1985,27,5.5,6,GREECE,GREECE:  MAGNISIA,39.266,22.81,130,,,,,,1,7,1,,,9934300
753,No,1985,27,7.1,8,PAPUA NEW GUINEA,"PAPUA NEW GUINEA:  NEW BRITAIN:  BIALLA, PIONA",-5.599,151.045,170,1,1,,,,2,,,,,4081030
754,Yes,1985,46,7.2,7,PAPUA NEW GUINEA,PAPUA NEW GUINEA:  NEW BRITAIN:  RABAUL,-4.439,152.828,170,,,,,,2,,1,,,4081030
755,No,1985,99,6.6,8,AFGHANISTAN,"AFGHANISTAN:  HINDU KUSH:  CHITRAL, SWAT",36.19,70.896,40,5,1,,38,1,2,,,,,11938208
756,No,1985,57,6.1,,PERU,PERU:  COAST:  CHIMBOTE,-9.159,-78.887,160,,,,100,2,2,60,2,,,19772872
757,No,1985,7,7.5,7,CHINA,CHINA:  S XINJIANG:  WUQUA-SHUFU,39.431,75.224,40,71,2,,162,3,2,,3,,,1051040000
758,No,1985,10,6.3,,INDONESIA,INDONESIA:  NEW GUINEA:  IRIAN JAYA:  ENAROTALI,-4.13,136.049,170,10,1,,7,1,2,,,,,164982451
759,Yes,1985,28,8.1,9,MEXICO,MEXICO:  MICHOACAN:  MEXICO CITY,18.19,-102.533,150,9500,4,,30000,4,4,,4,,,75983485
760,Yes,1985,31,7.6,6,MEXICO,MEXICO:  SW COAST:  MEXICO CITY,17.802,-101.647,150,,2,,,,2,,,,,75983485
761,No,1985,32,6.9,7,SOLOMON ISLANDS,"SOLOMON ISLANDS:  HONIARA, GUADACANAL",-9.829,159.854,170,,,,,,1,,3,,,270788
762,No,1985,7,5,7,MACEDONIA,BALKANS NW:  MACEDONIA:  DEMIR KAPIJA-NEGOTINO,41.581,22.254,130,,,,16,1,2,500,3,,,0
763,No,1985,5,4.5,7,GUATEMALA,GUATEMALA:  SAN MIGUEL UPSANTAN,15.299,-90.863,100,,,,,3,2,500,3,500,3,7884034
