,FLAG_TSUNAMI,YEAR,FOCAL_DEPTH,EQ_PRIMARY,INTENSITY,COUNTRY,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,DEATHS,DEATHS_DESCRIPTION,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,POPULATION
48,No,1961,131,7.5,,SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,SOUTH SANDWICH ISLANDS,-59.5,-27.3,70,,,,,,,,,,,0
49,No,1961,,7.7,,SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,SOUTH SANDWICH ISLANDS,-58,-27,70,,,,,,,,,,,0
50,No,1961,105,7.7,,SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,SOUTH SANDWICH ISLANDS,-56.26,-27.283,70,,,,,,,,,,,0
51,No,1961,,5.7,7,CHINA,CHINA:  GANSU PROVINCE,34.33,104.78,30,,,,,,1,10,1,,,660330000
52,No,1961,33,,,IRAN,IRAN,33.6,48.1,140,2,1,,,,2,,,,,0
53,Yes,1961,15,6.5,,CHILE,"CHILE:  VALDIVIA, CURICO",-36.7,-73,160,,1,,,,1,,,,,8303811
54,Yes,1961,60,,,JAPAN,JAPAN:  SE. HOKKAIDO ISLAND,42.7,145.7,30,,,,,,,,,,,94943000
55,No,1961,176,6.9,,COLOMBIA,COLOMBIA,4.6,-75.6,160,23,1,,,,3,,,,,16567811
56,No,1962,33,5.9,8,CROATIA,BALKANS NW:  CROATIA,43.3,17.1,130,4,1,,,,2,,,,,4196712
57,No,1962,33,6.1,9,CROATIA,BALKANS NW:  CROATIA,43.3,17.1,130,1,1,,,,2,2290,4,,,4196712
58,No,1962,45,7.3,,CHILE,CHILE:  CENTRAL,-37.8,-72.5,160,,,,,,2,,,,,8476897
59,No,1962,,5.3,8,TUNISIA,"TUNISIA:  GAFOUR,OUM-ZID,EL AKHOUAT",36,9,15,,,,,,2,,,,,4305481
60,Yes,1962,35,6.8,,PANAMA,COSTA RICA-PANAMA,8.008,-82.757,100,,,,,,1,,,,,1202449
61,No,1962,33,6,,ALBANIA,ALBANIA,40.9,19.5,130,15,1,,,,2,,,,,1711319
62,No,1962,25,6.1,8,CHINA,CHINA:  GUANGDONG PROVINCE,23.72,114.67,30,1,1,,2,1,3,1200,4,,,665770000
63,No,1962,33,,7,IRAN,IRAN:  MUSSAVIEH,33.6,59,140,5,1,,,,2,,,,,0
64,Yes,1962,25,7.2,,JAPAN,JAPAN:  SANRIKU,38.073,142.741,30,,,,,,,,,,,95832000
65,No,1962,39,6.3,,PERU,"PERU:  CASMA,HUARAZ,QUIRUVILCA,TRUJILLO",-10,-79,160,9,1,,,,2,,,,,10749466
